//DOXY BGC Argo audit report 
//File created on 04-Oct-2023 10:17:06 by jplant
//Created with bgc_argo_DOXY_audit_jp
//BGC Argo float list generated from argo_bio-profile_index.txt.gz
//All data were extracted from the merged synthetic profile (Sprof) files
//Sprof files were dowloaded from the GDAC on 09/29/2023
//154 of 2064 inspected floats did not have Sprof files
//Data inclusion filters:
//   DOXY profile not on grey list
//   PRES <= 20.0
//   TEMP_QC or PSAL_QC or DOXY_QC or DOXY_ADJUSTED_QC not equal 4
//   (PSAL_QC & DOXY_QC) not equal 3
//   (PSAL_ADJUSTED_ QC & DOXY_ADJUSTED_QC) not equal 3
//224407 profiles inspected
//Outlier metric = DOXY gain (raw & adjusted data)
//Doxy gain (G) =  [WOA O2 %sat / DOXY O2 %sat]
//Outlier detection method = Median Absolute Deviation (MAD)
//DOXY median gain = 1.0756
//DOXY MAD gain = 0.0447
//DOXY_ADJUSTED median gain = 1.0056
//DOXY_ADJUSTED MAD gain = 0.0245
//Outlier threshhold, Z_adj > 5 or (Z_raw > 5 & Zadj = NaN)
//Reference:
//    Leys et al. (2013). Detecting outliers: Do not use standard deviation around the mean,
//    use absolute deviation around the median. https://doi.org/10.1016/j.jesp.2013.03.013
DAC	PI	SPROF DATE_UPDATE	DATA MODE	WMO	cycle	profile date	lon	lat	WOA T	WOA S	WOA O2 %sat	PRES	TEMP	PSAL	flt O2 %sat	flt O2adj %sat	WOA G_raw	WOA G_adj	Z_WOAraw	Z_WOAadj
meds	Blair Greenan	06/28/22 11:21	A	4900637	89	08/02/07 11:22	-128.35	46.67	15.63	32.15	104.42	11.03	16.58	12.10	90.39	91.61	1.16	1.14	1.79	5.5
meds	Blair Greenan	06/28/22 11:21	A	4900637	90	08/12/07 12:13	-128.31	46.62	16.15	32.12	104.33	10.97	16.55	12.27	89.14	90.35	1.17	1.15	2.12	6.1
meds	Blair Greenan	06/28/22 17:26	A	4900883	91	05/26/09 12:40	-48.30	41.29	15.14	35.15	106.10	6.95	10.88	33.42	129.76	128.69	0.82	0.82	5.77	7.4
meds	Blair Greenan	06/28/22 17:26	A	4900883	94	06/25/09 12:20	-47.26	40.01	19.90	35.84	106.03	11.47	10.92	32.62	154.15	152.89	0.71	0.71	8.26	12.0
meds	Blair Greenan	06/28/22 17:26	A	4900883	95	07/05/09 12:09	-46.47	39.72	21.43	35.96	106.98	11.63	15.06	32.76	130.80	129.72	0.82	0.83	5.68	7.2
meds	Blair Greenan	06/28/22 17:26	A	4900883	98	08/04/09 11:38	-46.02	39.61	24.23	36.02	107.23	11.27	23.21	34.17	188.72	187.17	0.57	0.58	11.27	17.5
meds	Blair Greenan	06/28/22 17:26	A	4900883	101	09/03/09 09:06	-46.42	41.10	23.25	35.45	106.84	11.17	25.82	36.29	94.24	93.46	1.13	1.14	1.30	5.6
meds	Blair Greenan	06/28/22 17:26	A	4900883	102	09/13/09 08:31	-46.51	41.50	22.59	35.26	106.88	11.17	23.07	36.28	84.32	83.62	1.27	1.28	4.32	11.2
meds	Blair Greenan	08/21/23 20:17	D	4901140	33	03/20/11 04:55	-54.49	41.49	12.18	35.09	97.50	11.67	5.79	33.33	99.59	111.27	0.98	0.88	2.16	5.3
meds	Blair Greenan	06/28/22 22:55	R	4901786	0	02/17/16 11:04	-144.34	49.99	6.06	32.60	99.12	11.39	6.66	32.66	118.89	NaN	0.83	NaN	5.41	NaN
meds	Blair Greenan	06/28/22 22:55	R	4901786	1	02/26/16 12:56	-144.37	50.03	6.07	32.60	99.59	10.31	6.35	32.67	118.38	NaN	0.84	NaN	5.25	NaN
meds	Blair Greenan	06/28/22 22:55	R	4901786	2	03/07/16 12:52	-144.40	50.13	6.06	32.61	100.11	10.15	6.33	32.69	118.19	NaN	0.85	NaN	5.12	NaN
meds	Blair Greenan	06/28/22 22:55	R	4901786	3	03/17/16 12:58	-144.30	50.14	6.09	32.61	100.63	10.51	6.22	32.73	118.36	NaN	0.85	NaN	5.05	NaN
meds	Blair Greenan	06/28/22 22:55	R	4901786	4	03/27/16 12:52	-144.24	50.16	6.11	32.61	101.00	10.28	6.31	32.74	119.08	NaN	0.85	NaN	5.09	NaN
meds	Blair Greenan	06/28/22 22:55	R	4901786	5	04/06/16 12:56	-144.17	50.17	6.13	32.61	101.35	9.97	6.49	32.73	121.53	NaN	0.83	NaN	5.41	NaN
meds	Blair Greenan	06/28/22 22:55	R	4901786	6	04/16/16 12:58	-144.12	50.21	6.18	32.61	101.78	10.30	6.64	32.72	121.35	NaN	0.84	NaN	5.30	NaN
meds	Blair Greenan	06/28/22 22:55	R	4901786	7	04/26/16 12:51	-144.03	50.30	6.47	32.60	102.89	10.23	6.68	32.72	122.02	NaN	0.84	NaN	5.20	NaN
meds	Blair Greenan	06/28/22 22:55	R	4901786	8	05/06/16 12:53	-143.98	50.31	6.76	32.60	104.08	10.54	7.03	32.71	122.36	NaN	0.85	NaN	5.04	NaN
meds	Blair Greenan	06/28/22 22:55	R	4901786	9	05/16/16 12:52	-143.89	50.31	7.12	32.60	105.11	10.74	7.84	32.73	124.75	NaN	0.84	NaN	5.22	NaN
meds	Blair Greenan	06/28/22 22:55	R	4901786	10	05/26/16 12:57	-143.68	50.36	7.78	32.58	105.19	10.67	8.04	32.74	125.16	NaN	0.84	NaN	5.26	NaN
meds	Blair Greenan	06/28/22 22:55	R	4901786	11	06/05/16 13:00	-143.43	50.38	8.45	32.56	105.30	10.74	8.76	32.70	124.80	NaN	0.84	NaN	5.19	NaN
meds	Blair Greenan	06/28/22 22:55	R	4901786	12	06/15/16 12:57	-143.24	50.37	9.14	32.54	105.44	10.64	9.18	32.67	125.57	NaN	0.84	NaN	5.28	NaN
meds	Blair Greenan	06/28/22 22:55	R	4901786	13	06/25/16 12:53	-142.97	50.39	10.03	32.52	105.37	9.86	10.31	32.68	128.56	NaN	0.82	NaN	5.73	NaN
meds	Blair Greenan	06/28/22 22:55	R	4901786	14	07/05/16 12:58	-142.76	50.36	10.85	32.51	105.31	11.29	11.03	32.65	128.87	NaN	0.82	NaN	5.79	NaN
meds	Blair Greenan	06/28/22 22:55	R	4901786	15	07/15/16 12:51	-142.47	50.38	11.72	32.49	105.20	10.65	11.69	32.62	126.85	NaN	0.83	NaN	5.51	NaN
meds	Blair Greenan	06/28/22 22:55	R	4901786	16	07/25/16 12:50	-142.32	50.30	12.39	32.47	105.23	10.71	12.57	32.58	126.95	NaN	0.83	NaN	5.52	NaN
meds	Blair Greenan	06/28/22 22:55	R	4901786	17	08/04/16 12:53	-142.18	50.28	13.06	32.44	105.16	10.53	13.68	32.60	126.11	NaN	0.83	NaN	5.41	NaN
meds	Blair Greenan	06/28/22 22:55	R	4901786	18	08/14/16 12:50	-142.01	50.27	13.73	32.42	105.02	10.36	14.56	32.58	123.89	NaN	0.85	NaN	5.10	NaN
meds	Blair Greenan	06/28/22 22:55	R	4901786	19	08/24/16 12:57	-142.11	50.25	13.76	32.41	104.92	11.90	15.65	32.62	123.48	NaN	0.85	NaN	5.06	NaN
meds	Blair Greenan	06/28/22 22:55	R	4901786	21	09/13/16 12:52	-141.87	50.14	13.99	32.40	104.43	11.27	15.93	32.59	123.14	NaN	0.85	NaN	5.09	NaN
meds	Blair Greenan	06/28/22 22:55	R	4901786	22	09/23/16 12:52	-142.00	50.14	13.34	32.40	103.66	10.95	15.25	32.57	122.26	NaN	0.85	NaN	5.10	NaN
meds	Blair Greenan	06/28/22 22:55	R	4901786	24	10/13/16 12:58	-142.13	50.21	11.82	32.42	101.94	10.23	13.67	32.61	121.41	NaN	0.84	NaN	5.28	NaN
meds	Blair Greenan	06/28/22 22:55	R	4901786	25	10/23/16 12:49	-142.14	50.32	11.03	32.43	101.55	11.21	12.77	32.64	119.70	NaN	0.85	NaN	5.09	NaN
meds	Blair Greenan	06/28/22 22:55	R	4901786	26	11/02/16 12:52	-141.93	50.48	10.27	32.44	101.22	10.47	11.91	32.64	120.73	NaN	0.84	NaN	5.31	NaN
meds	Blair Greenan	06/28/22 22:55	R	4901786	27	11/12/16 12:50	-141.66	50.55	9.57	32.44	100.93	10.75	10.73	32.66	118.65	NaN	0.85	NaN	5.04	NaN
meds	Blair Greenan	06/28/22 22:55	R	4901786	28	11/22/16 12:53	-141.24	50.55	9.05	32.45	101.09	9.68	9.63	32.69	118.95	NaN	0.85	NaN	5.05	NaN
meds	Blair Greenan	06/28/22 22:55	R	4901786	29	12/02/16 12:58	-140.95	50.47	8.56	32.46	101.50	10.43	8.10	32.65	119.36	NaN	0.85	NaN	5.04	NaN
meds	Blair Greenan	06/28/22 22:55	R	4901786	31	12/22/16 12:57	-140.93	50.15	7.78	32.49	101.40	10.08	7.19	32.74	119.09	NaN	0.85	NaN	5.02	NaN
