//DOXY BGC Argo audit report 
//File created on 30-Nov-2022 18:23:00 by jplant
//Created with bgc_argo_DOXY_audit_jp
//BGC Argo float list generated from argo_bio-profile_index.txt.gz
//All data were extracted from the merged synthetic profile (Sprof) files
//Sprof files were dowloaded from the GDAC on 11/25/2022
//149 of 1847 inspected floats did not have Sprof files
//Data inclusion filters:
//   DOXY profile not on grey list
//   PRES <= 20.0
//   TEMP_QC or PSAL_QC or DOXY_QC or DOXY_ADJUSTED_QC not equal 4
//   (PSAL_QC & DOXY_QC) not equal 3
//   (PSAL_ADJUSTED_ QC & DOXY_ADJUSTED_QC) not equal 3
//205728 profiles inspected
//Outlier metric = DOXY gain (raw & adjusted data)
//Doxy gain (G) =  [WOA O2 %sat / DOXY O2 %sat]
//Outlier detection method = Median Absolute Deviation (MAD)
//DOXY median gain = 1.0767
//DOXY MAD gain = 0.0454
//DOXY_ADJUSTED median gain = 1.0053
//DOXY_ADJUSTED MAD gain = 0.0247
//Outlier threshhold, Z_adj > 5 or (Z_raw > 5 & Zadj = NaN)
//Reference:
//    Leys et al. (2013). Detecting outliers: Do not use standard deviation around the mean,
//    use absolute deviation around the median. https://doi.org/10.1016/j.jesp.2013.03.013
DAC	PI	SPROF DATE_UPDATE	DATA MODE	WMO	cycle	profile date	lon	lat	WOA T	WOA S	WOA O2 %sat	PRES	TEMP	PSAL	flt O2 %sat	flt O2adj %sat	WOA G_raw	WOA G_adj	Z_WOAraw	Z_WOAadj
meds	Blair Greenan	06/28/22 11:21	A	4900637	89	08/02/07 11:22	-128.35	46.67	15.63	32.15	104.42	11.03	16.58	12.10	90.39	91.61	1.16	1.14	1.73	5.4
meds	Blair Greenan	06/28/22 11:21	A	4900637	90	08/12/07 12:13	-128.31	46.62	16.15	32.12	104.33	10.97	16.55	12.27	89.14	90.35	1.17	1.15	2.07	6.0
meds	Blair Greenan	06/28/22 16:11	A	4900881	29	07/28/07 22:06	-73.23	37.31	22.46	34.81	105.37	19.60	17.13	34.28	114.21	121.95	0.92	0.86	3.40	5.7
meds	Blair Greenan	06/28/22 16:11	A	4900881	134	06/12/10 21:56	-53.03	41.63	15.09	34.65	106.53	11.20	19.23	35.87	89.65	93.67	1.19	1.14	2.47	5.4
meds	Blair Greenan	06/28/22 17:26	A	4900883	91	05/26/09 12:40	-48.30	41.29	15.14	35.15	106.10	6.95	10.88	33.42	129.76	128.69	0.82	0.82	5.71	7.3
meds	Blair Greenan	06/28/22 17:26	A	4900883	94	06/25/09 12:20	-47.26	40.01	19.90	35.84	106.03	11.47	10.92	32.62	154.15	152.89	0.71	0.71	8.16	11.9
meds	Blair Greenan	06/28/22 17:26	A	4900883	95	07/05/09 12:09	-46.47	39.72	21.43	35.96	106.98	11.63	15.06	32.76	130.80	129.72	0.82	0.83	5.61	7.1
meds	Blair Greenan	06/28/22 17:26	A	4900883	98	08/04/09 11:38	-46.02	39.61	24.23	36.02	107.23	11.27	23.21	34.17	188.72	187.17	0.57	0.58	11.12	17.3
meds	Blair Greenan	06/28/22 17:26	A	4900883	101	09/03/09 09:06	-46.42	41.10	23.25	35.45	106.84	11.17	25.82	36.29	94.24	93.46	1.13	1.14	1.26	5.6
meds	Blair Greenan	06/28/22 17:26	A	4900883	102	09/13/09 08:31	-46.51	41.50	22.59	35.26	106.88	11.17	23.07	36.28	84.32	83.62	1.27	1.28	4.23	11.1
meds	Blair Greenan	06/28/22 19:31	A	4901139	13	08/18/10 20:27	-57.84	44.03	18.42	31.83	106.07	6.80	20.37	31.50	110.64	124.37	0.96	0.85	2.60	6.2
meds	Blair Greenan	06/28/22 20:03	D	4901140	12	08/22/10 04:28	-55.79	44.35	17.67	32.15	105.05	8.45	18.79	31.84	90.98	82.07	1.15	1.28	1.72	11.1
meds	Blair Greenan	06/28/22 20:03	D	4901140	13	09/01/10 06:03	-56.69	44.21	17.79	32.05	105.93	8.45	18.94	31.25	92.66	83.58	1.14	1.27	1.47	10.6
meds	Blair Greenan	06/28/22 20:03	D	4901140	16	10/01/10 04:03	-56.53	43.39	17.98	32.91	104.87	7.85	16.41	32.47	91.88	82.87	1.14	1.27	1.43	10.5
meds	Blair Greenan	06/28/22 20:03	D	4901140	20	11/10/10 04:07	-55.97	43.89	13.22	32.99	99.06	11.87	12.61	32.42	89.94	81.12	1.10	1.22	0.54	8.7
meds	Blair Greenan	06/28/22 20:03	D	4901140	27	01/19/11 04:45	-55.86	42.63	10.41	34.13	101.15	8.35	7.98	33.44	88.80	80.10	1.14	1.26	1.37	10.4
meds	Blair Greenan	06/28/22 20:03	D	4901140	30	02/18/11 02:27	-55.59	42.02	11.15	34.69	97.07	11.93	4.77	33.26	87.41	78.85	1.11	1.23	0.74	9.1
meds	Blair Greenan	06/28/22 20:03	D	4901140	33	03/20/11 04:55	-54.49	41.49	12.18	35.09	97.50	11.67	5.79	33.33	99.59	112.13	0.98	0.87	2.15	5.5
meds	Blair Greenan	06/28/22 20:03	D	4901140	51	09/16/11 04:30	-46.64	35.81	26.03	36.38	103.85	8.20	26.30	35.88	92.36	83.31	1.12	1.25	1.05	9.8
meds	Blair Greenan	06/28/22 20:03	D	4901140	53	10/06/11 04:02	-47.99	35.58	25.23	36.41	103.90	7.75	24.62	36.02	91.53	82.56	1.14	1.26	1.29	10.2
meds	Blair Greenan	06/28/22 20:03	D	4901140	64	01/24/12 04:15	-51.33	32.42	20.55	36.66	102.40	11.40	19.53	36.44	89.19	80.45	1.15	1.27	1.57	10.8
meds	Blair Greenan	06/28/22 20:03	D	4901140	68	03/04/12 02:34	-50.56	33.78	19.34	36.57	102.06	8.35	18.82	36.48	90.81	81.91	1.12	1.25	1.04	9.7
meds	Blair Greenan	06/28/22 20:03	D	4901140	71	04/03/12 02:05	-51.48	34.45	19.07	36.57	102.23	8.00	18.56	36.48	90.75	81.86	1.13	1.25	1.10	9.9
meds	Blair Greenan	06/28/22 20:03	D	4901140	84	08/11/12 02:31	-54.88	33.82	27.32	36.57	103.80	8.60	27.25	36.37	93.66	84.48	1.11	1.23	0.70	9.0
meds	Blair Greenan	06/28/22 20:03	D	4901140	100	01/18/13 02:30	-63.35	34.40	20.56	36.58	100.71	8.05	19.63	36.48	89.74	80.95	1.12	1.24	1.00	9.7
meds	Blair Greenan	06/28/22 20:03	D	4901140	106	03/19/13 03:41	-64.35	35.41	19.67	36.61	99.36	11.90	18.30	36.54	87.51	78.93	1.14	1.26	1.30	10.3
meds	Blair Greenan	06/28/22 20:03	D	4901140	120	08/06/13 02:17	-71.30	34.08	27.53	36.28	103.23	8.35	27.03	36.38	92.23	83.19	1.12	1.24	0.94	9.5
meds	Blair Greenan	06/28/22 20:03	D	4901140	130	11/14/13 02:29	-75.17	30.21	25.29	36.46	100.82	8.30	25.68	36.38	89.96	81.15	1.12	1.24	0.97	9.6
meds	Blair Greenan	06/28/22 20:03	D	4901140	140	02/22/14 02:44	-77.35	30.41	22.97	36.51	102.70	8.20	22.18	36.57	90.59	81.71	1.13	1.26	1.26	10.2
meds	Blair Greenan	06/28/22 20:03	D	4901140	141	03/04/14 02:30	-77.47	30.57	23.02	36.47	101.48	10.10	22.76	36.56	89.53	80.76	1.13	1.26	1.25	10.2
meds	Blair Greenan	06/28/22 20:10	D	4901141	1	05/19/10 09:05	-49.87	59.00	3.72	34.52	107.06	8.50	4.54	34.76	100.06	84.05	1.07	1.27	0.15	10.9
meds	Blair Greenan	06/28/22 20:10	D	4901141	2	05/29/10 06:04	-49.52	58.42	4.48	34.58	106.31	8.40	4.86	34.74	100.00	84.00	1.06	1.27	0.30	10.5
meds	Blair Greenan	06/28/22 20:10	D	4901141	3	06/08/10 07:18	-48.74	59.00	4.77	34.48	107.02	8.40	6.13	34.71	100.25	84.21	1.07	1.27	0.20	10.7
meds	Blair Greenan	06/28/22 20:10	D	4901141	4	06/18/10 08:56	-48.74	58.66	5.43	34.51	106.71	8.30	5.69	34.73	96.62	81.16	1.10	1.31	0.61	12.5
meds	Blair Greenan	06/28/22 20:10	D	4901141	5	06/28/10 07:13	-49.76	58.33	6.21	34.51	106.45	8.40	6.43	34.61	97.16	81.61	1.10	1.30	0.42	12.1
meds	Blair Greenan	06/28/22 20:10	D	4901141	6	07/08/10 09:03	-48.80	58.34	6.85	34.51	105.68	8.60	7.43	34.57	99.92	83.93	1.06	1.26	0.42	10.3
meds	Blair Greenan	06/28/22 20:10	D	4901141	7	07/18/10 06:53	-48.10	58.35	7.44	34.53	104.85	7.90	7.63	34.55	96.58	81.13	1.09	1.29	0.20	11.6
meds	Blair Greenan	06/28/22 20:10	D	4901141	8	07/28/10 09:33	-47.25	58.03	7.98	34.57	103.34	12.10	8.13	34.54	97.48	81.88	1.06	1.26	0.36	10.4
meds	Blair Greenan	06/28/22 20:10	D	4901141	9	08/07/10 08:44	-46.69	57.62	8.81	34.58	101.80	8.60	9.36	34.55	98.53	82.76	1.03	1.23	0.96	9.1
meds	Blair Greenan	06/28/22 20:10	D	4901141	10	08/17/10 09:05	-46.40	57.55	9.27	34.58	100.33	7.60	9.73	34.53	97.57	81.96	1.03	1.22	1.07	8.9
meds	Blair Greenan	06/28/22 20:10	D	4901141	11	08/27/10 09:12	-46.28	57.86	8.83	34.59	100.39	8.05	10.55	34.52	97.82	82.17	1.03	1.22	1.11	8.8
meds	Blair Greenan	06/28/22 20:10	D	4901141	12	09/06/10 06:45	-45.22	57.84	8.63	34.64	100.25	7.40	10.68	34.49	95.28	80.03	1.05	1.25	0.54	10.0
meds	Blair Greenan	06/28/22 20:10	D	4901141	13	09/16/10 09:28	-45.90	58.80	7.83	34.63	100.03	11.33	9.45	34.53	94.34	79.24	1.06	1.26	0.36	10.4
meds	Blair Greenan	06/28/22 20:10	D	4901141	14	09/26/10 06:33	-45.70	58.74	7.19	34.64	100.23	8.40	9.07	34.56	93.70	78.70	1.07	1.27	0.15	10.9
