;"Cycle number";Hour;Minute;Second;"CTD - Pressure (dbar)";"CTD - Temperature (°C)";"CTD - Salinity (PSU)";"DO - C1 Phase (°)";"DO - C2 Phase (°)";"DO - Temperature (°)";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;1;30;32;1;1011,8;2,959;34,363;66,002;6,948;2,950
;;;;;987,6;2,995;34,354;66,074;6,942;2,987
;;;;;962,7;3,036;34,344;66,086;6,938;3,028
;;;;;937,9;3,074;34,336;66,080;6,936;3,066
;;;;;912,9;3,112;34,327;66,096;6,932;3,104
;;;;;888,2;3,151;34,319;66,104;6,930;3,142
;;;;;862,6;3,194;34,308;66,092;6,928;3,184;;;;;;;;;
;1;31;4;51;837,6;3,244;34,297;66,066;6,926;3,234
;;;;;812,8;3,305;34,282;66,016;6,926;3,295
;;;;;788,4;3,377;34,268;65,968;6,928;3,367
;;;;;762,7;3,437;34,254;65,878;6,928;3,427
;;;;;737,7;3,493;34,243;65,770;6,928;3,482
;;;;;712,7;3,556;34,231;65,624;6,928;3,546
;;;;;687,9;3,610;34,215;65,482;6,926;3,601;;;;;;;;;
;1;31;35;17;662,8;3,641;34,202;65,370;6,926;3,633
;;;;;637,5;3,676;34,187;65,260;6,926;3,668
;;;;;612,7;3,703;34,166;65,120;6,926;3,695
;;;;;587,6;3,787;34,150;64,794;6,926;3,774
;;;;;563,1;3,856;34,134;64,432;6,926;3,846
;;;;;537,3;3,907;34,115;64,146;6,926;3,895
;;;;;512,6;3,966;34,090;63,812;6,926;3,954;;;;;;;;;
;1;32;6;47;487,6;4,016;34,068;63,390;6,926;4,005
;;;;;462,7;4,079;34,040;62,836;6,926;4,068
;;;;;437,9;4,111;34,018;62,230;6,928;4,103
;;;;;413,0;4,120;33,994;61,738;6,926;4,112
;;;;;387,6;4,163;33,958;60,920;6,928;4,155
;;;;;363,6;4,182;33,931;60,256;6,926;4,175
;;;;;337,6;4,200;33,896;59,390;6,926;4,192;;;;;;;;;
;1;32;38;37;312,5;4,232;33,854;58,238;6,926;4,223
;;;;;287,4;4,273;33,824;57,040;6,926;4,263
;;;;;262,6;4,386;33,792;55,854;6,928;4,371
;;;;;238,0;4,544;33,757;54,358;6,930;4,528
;;;;;213,5;4,672;33,717;52,816;6,932;4,655
;;;;;195,0;4,799;33,688;51,796;6,934;4,781
;;;;;185,4;4,887;33,672;51,324;6,936;4,862;;;;;;;;;
;1;33;3;37;175,7;4,964;33,635;50,542;6,936;4,945
;;;;;165,6;5,063;33,592;49,678;6,940;5,04
;;;;;155,4;5,195;33,511;48,728;6,940;5,17
;;;;;145,4;5,368;33,390;47,638;6,944;5,338
;;;;;135,6;5,401;33,302;46,778;6,946;5,384
;;;;;125,4;5,513;33,158;46,038;6,950;5,496
;;;;;115,4;5,627;32,801;44,628;6,954;5,612;;;;;;;;;
;1;33;21;13;105,3;5,698;32,488;42,770;6,954;5,690
;;;;;95,0;5,782;32,443;42,102;6,954;5,764
;;;;;84,9;5,881;32,432;41,814;6,958;5,869
;;;;;75,3;5,902;32,429;41,652;6,958;5,898
;;;;;65,4;5,909;32,429;41,590;6,958;5,907
;;;;;55,6;5,918;32,428;41,550;6,960;5,915
;;;;;45,7;6,186;32,413;41,462;6,960;6,152;;;;;;;;;
;1;33;45;45;35,7;6,513;32,395;41,388;6,974;6,489
;;;;;25,5;6,600;32,389;41,368;6,982;6,596
;;;;;15,5;6,606;32,388;41,360;6,984;6,601
;;;;;9,8;6,614;32,385;41,354;6,984;6,606
;;;;;8,9;6,612;32,390;41,350;6,986;6,607
;;;;;8,1;6,611;32,389;41,350;6,986;6,605
;;;;;7,2;6,612;32,389;41,346;6,984;6,605;;;;;;;;;
;1;33;53;45;5,9;6,609;32,389;41,344;6,984;6,605
;;;;;4,7;6,609;32,389;41,346;6,984;6,604
;;;;;3,9;6,608;32,389;41,342;6,984;6,604
;;;;;3,1;6,610;32,388;41,342;6,984;6,605
;;;;;1,9;6,614;32,383;41,340;6,984;6,606
;;;;;1,0;6,614;32,383;41,338;6,984;6,607
;;;;;0,2;6,615;32,384;41,332;6,982;6,607;;;;;;;;;
