;"Cycle number";Hour;Minute;Second;"CTD - Pressure (dbar)";"CTD - Temperature (°C)";"CTD - Salinity (PSU)";"DO - C1 Phase (°)";"DO - C2 Phase (°)";"DO - Temperature (°)";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;0;20;5;16;-0,4;7,125;0,004;40,770;7,036;8,053
;;;;;-0,4;6,996;0,003;40,780;7,034;7,969
;;;;;-0,3;6,348;0,003;41,004;7,026;7,006
;;;;;-0,2;6,351;0,003;41,110;7,020;6,584
;;;;;-0,2;6,249;0,003;41,180;7,010;6,524
;;;;;-0,1;6,287;0,003;41,196;7,002;6,556
;;;;;-0,2;6,326;0,003;41,200;6,996;6,335;;;;;;;;;
;0;20;8;46;-0,2;6,341;0,003;41,208;6,992;6,359
;;;;;-0,2;6,193;12,215;41,204;6,978;6,397
;;;;;-0,3;6,243;12,215;41,150;6,982;6,477
;;;;;1000,0;0,000;0,000;-40,000;-40,000;-5
;;;;;1000,0;0,000;0,000;-40,000;-40,000;-5
;;;;;1000,0;0,000;0,000;-40,000;-40,000;-5
;;;;;1000,0;0,000;0,000;-40,000;-40,000;-5;;;;;;;;;
;1;34;12;21;-0,0;6,560;32,402;41,360;6,970;6,455
;;;;;-0,0;6,533;32,425;41,310;6,970;6,446
;;;;;-0,0;6,575;32,376;41,312;6,972;6,438
;;;;;-0,0;6,561;32,385;41,344;6,970;6,482
;;;;;-0,0;6,520;32,424;41,294;6,972;6,459
;;;;;-0,0;6,499;32,440;41,308;6,968;6,48
;;;;;-0,0;6,523;32,428;41,320;6,956;6,487;;;;;;;;;
;1;34;15;51;0,1;6,553;32,394;41,352;6,966;6,510
;;;;;0,1;6,489;32,448;41,340;6,966;6,521
;;;;;0,1;6,509;32,430;41,344;6,968;6,524
;;;;;1000,0;0,000;0,000;-40,000;-40,000;-5
;;;;;1000,0;0,000;0,000;-40,000;-40,000;-5
;;;;;1000,0;0,000;0,000;-40,000;-40,000;-5
;;;;;1000,0;0,000;0,000;-40,000;-40,000;-5;;;;;;;;;
